"Date","USDxCAD_ExchangeRates"
"2020-01-02","1.2992"
"2020-01-03","1.2988"
"2020-01-06","1.297"
"2020-01-07","1.3009"
"2020-01-08","1.3026"
"2020-01-09","1.3079"
"2020-01-10","1.3051"
"2020-01-13","1.3048"
"2020-01-14","1.3062"
"2020-01-15","1.305"
"2020-01-16","1.3045"
"2020-01-17","1.3062"
"2020-01-20","1.3053"
"2020-01-21","1.3067"
"2020-01-22","1.3116"
"2020-01-23","1.3143"
"2020-01-24","1.314"
"2020-01-27","1.3182"
"2020-01-28","1.3179"
"2020-01-29","1.3196"
"2020-01-30","1.3217"
"2020-01-31","1.3233"
"2020-02-03","1.3275"
"2020-02-04","1.3278"
"2020-02-05","1.3289"
"2020-02-06","1.329"
"2020-02-07","1.3305"
"2020-02-10","1.3319"
"2020-02-11","1.3292"
"2020-02-12","1.3254"
"2020-02-13","1.3256"
"2020-02-14","1.3249"
"2020-02-18","1.3258"
"2020-02-19","1.3231"
"2020-02-20","1.3254"
"2020-02-21","1.3224"
"2020-02-24","1.3279"
"2020-02-25","1.3281"
"2020-02-26","1.3307"
"2020-02-27","1.3361"
"2020-02-28","1.3429"
"2020-03-02","1.3356"
"2020-03-03","1.3363"
"2020-03-04","1.3392"
"2020-03-05","1.3415"
"2020-03-06","1.3421"
"2020-03-09","1.3598"
"2020-03-10","1.3731"
"2020-03-11","1.3745"
"2020-03-12","1.382"
"2020-03-13","1.3901"
"2020-03-16","1.3964"
"2020-03-17","1.4175"
"2020-03-18","1.4496"
"2020-03-19","1.4495"
"2020-03-20","1.4332"
"2020-03-23","1.4482"
"2020-03-24","1.4491"
"2020-03-25","1.4302"
"2020-03-26","1.4077"
"2020-03-27","1.4056"
"2020-03-30","1.4156"
"2020-03-31","1.4187"
"2020-04-01","1.4217"
"2020-04-02","1.4179"
"2020-04-03","1.4142"
"2020-04-06","1.4127"
"2020-04-07","1.3986"
"2020-04-08","1.4034"
"2020-04-09","1.3985"
"2020-04-13","1.3936"
"2020-04-14","1.3904"
"2020-04-15","1.4086"
"2020-04-16","1.4122"
"2020-04-17","1.4037"
"2020-04-20","1.4086"
"2020-04-21","1.4203"
"2020-04-22","1.4155"
"2020-04-23","1.4063"
"2020-04-24","1.409"
"2020-04-27","1.4053"
"2020-04-28","1.3978"
"2020-04-29","1.3922"
"2020-04-30","1.391"
"2020-05-01","1.4066"
"2020-05-04","1.4085"
"2020-05-05","1.4032"
"2020-05-06","1.4124"
"2020-05-07","1.4015"
"2020-05-08","1.3934"
"2020-05-11","1.4012"
"2020-05-12","1.4015"
"2020-05-13","1.4073"
"2020-05-14","1.409"
"2020-05-15","1.4094"
"2020-05-19","1.3893"
"2020-05-20","1.3892"
"2020-05-21","1.3935"
"2020-05-22","1.4015"
"2020-05-25","1.3984"
"2020-05-26","1.3804"
"2020-05-27","1.378"
"2020-05-28","1.3764"
"2020-05-29","1.3787"
"2020-06-01","1.363"
"2020-06-02","1.3515"
"2020-06-03","1.3504"
"2020-06-04","1.3508"
"2020-06-05","1.3429"
"2020-06-08","1.3383"
"2020-06-09","1.3423"
"2020-06-10","1.339"
"2020-06-11","1.3553"
"2020-06-12","1.3596"
"2020-06-15","1.3604"
"2020-06-16","1.3558"
"2020-06-17","1.3555"
"2020-06-18","1.3589"
"2020-06-19","1.3587"
"2020-06-22","1.3545"
"2020-06-23","1.3516"
"2020-06-24","1.3591"
"2020-06-25","1.3645"
"2020-06-26","1.3676"
"2020-06-29","1.3682"
"2020-06-30","1.3628"
"2020-07-02","1.3586"
"2020-07-03","1.3565"
"2020-07-06","1.3543"
"2020-07-07","1.3583"
"2020-07-08","1.3538"
"2020-07-09","1.3555"
"2020-07-10","1.3594"
"2020-07-13","1.3567"
"2020-07-14","1.3616"
"2020-07-15","1.3534"
"2020-07-16","1.3543"
"2020-07-17","1.3574"
"2020-07-20","1.3543"
"2020-07-21","1.3446"
"2020-07-22","1.342"
"2020-07-23","1.3392"
"2020-07-24","1.3421"
"2020-07-27","1.3378"
"2020-07-28","1.3373"
"2020-07-29","1.336"
"2020-07-30","1.3432"
"2020-07-31","1.3404"
"2020-08-04","1.3372"
"2020-08-05","1.3262"
"2020-08-06","1.3292"
"2020-08-07","1.3377"
"2020-08-10","1.3354"
"2020-08-11","1.3291"
"2020-08-12","1.3254"
"2020-08-13","1.3217"
